CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,TechSupport,StreamingTV,Churn
C001,Male,0,Yes,No,1,No,DSL,Month-to-month,Electronic check,29.85,29.85,No,No,Yes
C002,Female,0,No,No,34,Yes,DSL,One year,Mailed check,56.95,1889.5,No,No,No
C003,Female,0,No,No,2,Yes,Fiber optic,Month-to-month,Electronic check,53.85,108.15,No,No,Yes
C004,Female,0,No,No,45,Yes,DSL,One year,Bank transfer,42.3,1840.75,Yes,No,No
C005,Male,0,No,No,2,Yes,Fiber optic,Month-to-month,Electronic check,70.7,151.65,No,No,Yes
C006,Male,0,No,No,8,Yes,Fiber optic,Month-to-month,Electronic check,99.65,820.5,No,Yes,Yes
C007,Female,0,No,Yes,22,Yes,Fiber optic,Month-to-month,Credit card,89.1,1949.4,No,Yes,No
C008,Male,0,No,No,10,No,DSL,Month-to-month,Mailed check,29.75,301.9,No,No,No
C009,Female,0,Yes,No,28,Yes,Fiber optic,Month-to-month,Electronic check,104.8,3046.05,No,Yes,Yes
C010,Male,0,No,No,62,Yes,Fiber optic,Two year,Bank transfer,99.65,5990.75,Yes,Yes,No
C011,Male,0,Yes,Yes,13,Yes,DSL,Month-to-month,Credit card,49.95,587.45,No,No,No
C012,Female,0,No,No,16,Yes,No,Two year,Mailed check,20.0,330.2,No,No,No
C013,Male,0,No,No,58,Yes,Fiber optic,Two year,Credit card,100.35,5681.1,Yes,Yes,No
C014,Female,0,No,No,1,Yes,Fiber optic,Month-to-month,Electronic check,95.2,95.2,No,No,Yes
C015,Female,1,No,No,3,Yes,Fiber optic,Month-to-month,Electronic check,89.1,267.3,No,Yes,Yes
C016,Male,0,Yes,Yes,24,Yes,DSL,One year,Bank transfer,55.2,1324.8,Yes,No,No
C017,Female,0,No,No,72,Yes,DSL,Two year,Credit card,64.75,4676.8,Yes,Yes,No
C018,Male,0,No,No,5,Yes,Fiber optic,Month-to-month,Electronic check,85.5,427.5,No,Yes,Yes
C019,Female,0,Yes,No,38,Yes,DSL,One year,Credit card,54.35,2065.3,Yes,No,No
C020,Male,0,No,No,12,Yes,Fiber optic,Month-to-month,Electronic check,95.15,1141.8,No,Yes,Yes
C021,Female,0,Yes,Yes,60,Yes,DSL,Two year,Bank transfer,59.75,3585.0,Yes,No,No
C022,Male,1,No,No,6,Yes,Fiber optic,Month-to-month,Electronic check,89.9,539.4,No,Yes,Yes
C023,Female,0,No,No,31,Yes,Fiber optic,One year,Credit card,89.5,2774.5,Yes,Yes,No
C024,Male,0,Yes,Yes,48,Yes,DSL,Two year,Bank transfer,55.85,2680.8,Yes,No,No
C025,Female,0,No,No,7,Yes,Fiber optic,Month-to-month,Electronic check,80.65,564.55,No,Yes,Yes
C026,Male,0,No,No,36,Yes,DSL,One year,Mailed check,49.3,1774.8,Yes,No,No
C027,Female,0,Yes,No,18,Yes,Fiber optic,Month-to-month,Electronic check,94.25,1696.5,No,Yes,Yes
C028,Male,0,No,Yes,55,Yes,DSL,Two year,Credit card,60.2,3311.0,Yes,No,No
C029,Female,0,No,No,4,Yes,Fiber optic,Month-to-month,Electronic check,91.4,365.6,No,Yes,Yes
C030,Male,0,Yes,Yes,70,Yes,DSL,Two year,Bank transfer,65.3,4571.0,Yes,Yes,No
